Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
NSA,51.6,178.9,129,121,250,805,🔴 Fraco
MDB,51.6,439.08,129,121,250,805,🔴 Fraco
CSGP,51.6,358.55,129,121,250,805,🔴 Fraco
COF,51.6,218.7,129,121,250,805,🔴 Fraco
TFX,51.6,179.7,129,121,250,805,🔴 Fraco
LYFT,51.6,331.21,129,121,250,805,🔴 Fraco
UAL,51.6,308.26,129,121,250,805,🔴 Fraco
SPXC,51.6,242.75,129,121,250,805,🔴 Fraco
VICI,51.6,199.35,129,121,250,805,🔴 Fraco
RIVN,51.6,216.89,129,121,250,691,🔴 Fraco
VOW3.DE,51.59,260.28,130,122,252,823,🔴 Fraco
NESN.SW,51.42,156.99,127,120,247,810,🔴 Fraco
CSNA3.SA,51.41,155.06,128,121,249,798,🔴 Fraco
HCLTECH.NS,51.21,269.8,127,121,248,790,🔴 Fraco
INFY.NS,51.21,230.23,127,121,248,790,🔴 Fraco
BKR,51.2,163.24,128,122,250,805,🔴 Fraco
ACN,51.2,394.67,128,122,250,805,🔴 Fraco
CRM,51.2,220.25,128,122,250,805,🔴 Fraco
NHI,51.2,154.51,128,122,250,805,🔴 Fraco
XEL,51.2,180.1,128,122,250,805,🔴 Fraco
APA,51.2,162.16,128,122,250,805,🔴 Fraco
SHAK,51.2,217.49,128,122,250,805,🔴 Fraco
PAA,51.2,147.7,128,122,250,805,🔴 Fraco
DOC,51.2,205.61,128,122,250,805,🔴 Fraco
DOV,51.2,228.38,128,122,250,805,🔴 Fraco
PSA,51.2,174.53,128,122,250,805,🔴 Fraco
AEO,51.2,265.02,128,122,250,805,🔴 Fraco
USB,51.2,233.43,128,122,250,805,🔴 Fraco
DHR,51.2,213.36,128,122,250,805,🔴 Fraco
ELV,51.2,243.07,128,122,250,805,🔴 Fraco
UNH,51.2,477.15,128,122,250,805,🔴 Fraco
KKR,51.2,515.39,128,122,250,805,🔴 Fraco
AMG,51.2,219.5,128,122,250,805,🔴 Fraco
ADP,51.2,364.85,128,122,250,805,🔴 Fraco
GNRC,51.2,478.55,128,122,250,805,🔴 Fraco
CLSK,51.2,231.25,128,122,250,805,🔴 Fraco
TS,51.2,180.73,128,122,250,805,🔴 Fraco
PEP,51.2,228.49,128,122,250,805,🔴 Fraco
AZN.L,51.19,198.4,129,123,252,809,🔴 Fraco
AIR.PA,51.18,213.98,130,124,254,827,🔴 Fraco
HEIA.AS,51.18,197.88,130,124,254,827,🔴 Fraco
FOLD,51.1,892.55,116,111,227,805,🔴 Fraco
CARL-B.CO,51.02,197.55,125,120,245,808,🔴 Fraco
IRBR3.SA,51.0,508.17,127,122,249,798,🔴 Fraco
MTRE3.SA,51.0,164.32,127,122,249,798,🔴 Fraco
BRAP4.SA,51.0,159.57,127,122,249,798,🔴 Fraco
SBSP3.SA,51.0,197.27,127,122,249,798,🔴 Fraco
RIO.L,51.0,216.05,128,123,251,809,🔴 Fraco
ABEV3.SA,51.0,164.03,127,122,249,798,🔴 Fraco
RELIANCE.NS,50.81,177.18,126,122,248,790,🔴 Fraco
TMUS,50.8,472.17,127,123,250,805,🔴 Fraco
COTY,50.8,259.26,127,123,250,805,🔴 Fraco
LULU,50.8,299.3,127,123,250,805,🔴 Fraco
BJ,50.8,158.5,127,123,250,805,🔴 Fraco
BBAR,50.8,285.96,127,123,250,805,🔴 Fraco
FDX,50.8,250.16,127,123,250,805,🔴 Fraco
CLMT,50.8,285.73,127,123,250,805,🔴 Fraco
WPC,50.8,311.52,127,123,250,805,🔴 Fraco
GGAL,50.8,319.09,127,123,250,805,🔴 Fraco
AMT,50.8,267.92,127,123,250,805,🔴 Fraco
AEP,50.8,235.1,127,123,250,805,🔴 Fraco
CCI,50.8,208.29,127,123,250,805,🔴 Fraco
IMO,50.8,185.8,127,123,250,805,🔴 Fraco
MAC,50.8,159.43,127,123,250,805,🔴 Fraco
REG,50.8,194.96,127,123,250,805,🔴 Fraco
IQ,50.8,119.21,127,123,250,805,🔴 Fraco
TTWO,50.8,204.64,127,123,250,805,🔴 Fraco
TJX,50.8,158.12,127,123,250,805,🔴 Fraco
BRK-B,50.8,245.71,127,123,250,805,🔴 Fraco
APO,50.8,303.27,127,123,250,805,🔴 Fraco
FIS,50.8,226.61,127,123,250,805,🔴 Fraco
BEAM,50.8,221.07,127,123,250,805,🔴 Fraco
SAIC,50.8,229.44,127,123,250,805,🔴 Fraco
GPN,50.8,208.67,127,123,250,805,🔴 Fraco
LTC,50.8,136.83,127,123,250,805,🔴 Fraco
NTLA,50.8,246.21,127,123,250,805,🔴 Fraco
CRSP,50.8,135.77,127,123,250,805,🔴 Fraco
STE,50.8,311.1,127,123,250,805,🔴 Fraco
MARA,50.8,221.08,127,123,250,805,🔴 Fraco
DXCM,50.8,309.35,127,123,250,805,🔴 Fraco
EPAM,50.8,245.02,127,123,250,805,🔴 Fraco
ALNY,50.8,841.6,127,123,250,805,🔴 Fraco
MS,50.8,230.98,127,123,250,805,🔴 Fraco
CB,50.8,475.83,127,123,250,805,🔴 Fraco
OSCR,50.8,238.73,127,123,250,805,🔴 Fraco
AXP,50.8,188.56,127,123,250,805,🔴 Fraco
DDOG,50.8,235.02,127,123,250,805,🔴 Fraco
QRVO,50.8,371.66,127,123,250,805,🔴 Fraco
FHI,50.8,162.97,127,123,250,805,🔴 Fraco
INGA.AS,50.79,193.24,129,125,254,827,🔴 Fraco
HOLX,50.7,407.07,108,105,213,805,🔴 Fraco
GGBR4.SA,50.6,182.75,126,123,249,798,🔴 Fraco
ITSA4.SA,50.6,137.87,126,123,249,798,🔴 Fraco
AURE3.SA,50.6,147.27,126,123,249,593,🔴 Fraco
EGIE3.SA,50.6,157.38,126,123,249,798,🔴 Fraco
IEX,50.4,287.5,126,124,250,805,🔴 Fraco
CPT,50.4,149.97,126,124,250,805,🔴 Fraco
MET,50.4,193.27,126,124,250,805,🔴 Fraco
LUV,50.4,171.14,126,124,250,805,🔴 Fraco
BBY,50.4,213.77,126,124,250,805,🔴 Fraco
STLA,50.4,146.45,126,124,250,805,🔴 Fraco
BSX,50.4,319.83,126,124,250,805,🔴 Fraco
RBLX,50.4,380.8,126,124,250,805,🔴 Fraco
ET,50.4,194.46,126,124,250,805,🔴 Fraco
TRU,50.4,166.69,126,124,250,805,🔴 Fraco
ARCC,50.4,178.54,126,124,250,805,🔴 Fraco
DPZ,50.4,170.36,126,124,250,805,🔴 Fraco
PTCT,50.4,373.4,126,124,250,805,🔴 Fraco
TTC,50.4,165.83,126,124,250,805,🔴 Fraco
AME,50.4,182.45,126,124,250,805,🔴 Fraco
ISRG,50.4,340.57,126,124,250,805,🔴 Fraco
ROK,50.4,544.36,126,124,250,805,🔴 Fraco
EDIT,50.4,164.81,126,124,250,805,🔴 Fraco
SHOP,50.4,242.56,126,124,250,805,🔴 Fraco
TAP,50.4,147.97,126,124,250,805,🔴 Fraco
MFG,50.4,147.15,126,124,250,805,🔴 Fraco
WMB,50.4,318.03,126,124,250,805,🔴 Fraco
PGR,50.4,1271.85,126,124,250,805,🔴 Fraco
PCTY,50.4,242.29,126,124,250,805,🔴 Fraco
MSTR,50.4,253.11,126,124,250,805,🔴 Fraco
GOOGL,50.4,531.74,126,124,250,805,🔴 Fraco
BTDR,50.4,209.67,126,124,250,765,🔴 Fraco
JPM,50.4,231.81,126,124,250,805,🔴 Fraco
NFLX,50.4,584.36,126,124,250,805,🔴 Fraco
QQQ,50.4,308.34,126,124,250,805,🔴 Fraco
XOM,50.4,277.51,126,124,250,805,🔴 Fraco
TXN,50.4,400.02,126,124,250,805,🔴 Fraco
SPY,50.4,293.97,126,124,250,805,🔴 Fraco
RHP,50.4,168.21,126,124,250,805,🔴 Fraco
CM,50.4,202.72,126,124,250,805,🔴 Fraco
TOTS3.SA,50.2,211.45,125,124,249,798,🔴 Fraco
ENGI11.SA,50.2,163.21,125,124,249,798,🔴 Fraco
PINE4.SA,50.2,362.05,125,124,249,798,🔴 Fraco
RENT3.SA,50.2,228.17,125,124,249,798,🔴 Fraco
BBAS3.SA,50.2,196.66,125,124,249,798,🔴 Fraco
COLO-B.CO,50.2,166.72,123,122,245,808,🔴 Fraco
HYPE3.SA,50.2,165.69,125,124,249,798,🔴 Fraco
IRTC,50.0,621.3,125,125,250,805,🔴 Fraco
PH,50.0,342.03,125,125,250,805,🔴 Fraco
NEM,50.0,426.91,125,125,250,805,🔴 Fraco
ED,50.0,150.92,125,125,250,805,🔴 Fraco
BP.L,50.0,184.22,126,126,252,808,🔴 Fraco
MDT,50.0,261.82,125,125,250,805,🔴 Fraco
BIIB,50.0,227.86,125,125,250,805,🔴 Fraco
WEX,50.0,265.73,125,125,250,805,🔴 Fraco
WERN,50.0,226.37,125,125,250,805,🔴 Fraco
CLH,50.0,212.74,125,125,250,805,🔴 Fraco
LMT,50.0,280.56,125,125,250,805,🔴 Fraco
HUT,50.0,207.17,125,125,250,805,🔴 Fraco
ACAD,50.0,285.79,125,125,250,805,🔴 Fraco
ADBE,50.0,395.11,125,125,250,805,🔴 Fraco
RIO,50.0,187.55,125,125,250,805,🔴 Fraco
CUBE,50.0,186.25,125,125,250,805,🔴 Fraco
TRV,50.0,179.29,125,125,250,805,🔴 Fraco
NET,50.0,395.71,125,125,250,805,🔴 Fraco
WSO,50.0,203.6,125,125,250,805,🔴 Fraco
DINO,50.0,373.21,125,125,250,805,🔴 Fraco
DKNG,50.0,385.36,125,125,250,805,🔴 Fraco
ARKK,50.0,223.35,125,125,250,805,🔴 Fraco
GDRX,50.0,159.06,125,125,250,805,🔴 Fraco
D,50.0,168.37,125,125,250,805,🔴 Fraco
IONQ,50.0,449.12,125,125,250,805,🔴 Fraco
LIGT3.SA,49.8,139.92,124,125,249,798,🔴 Fraco
VIVA3.SA,49.8,164.01,124,125,249,798,🔴 Fraco
RDOR3.SA,49.8,225.14,124,125,249,798,🔴 Fraco
BRSR6.SA,49.8,170.92,124,125,249,798,🔴 Fraco
HBSA3.SA,49.8,126.11,124,125,249,798,🔴 Fraco
MARUTI.NS,49.8,309.96,123,124,247,790,🔴 Fraco
BMIN4.SA,49.8,338.76,124,125,249,798,🔴 Fraco
VALE3.SA,49.8,187.16,124,125,249,798,🔴 Fraco
USIM5.SA,49.8,138.15,124,125,249,798,🔴 Fraco
RADL3.SA,49.8,222.68,124,125,249,798,🔴 Fraco
ONTO,49.6,449.18,124,126,250,805,🔴 Fraco
BA,49.6,267.23,124,126,250,805,🔴 Fraco
GLOB,49.6,382.26,124,126,250,805,🔴 Fraco
SPG,49.6,161.81,124,126,250,805,🔴 Fraco
